Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_x,EE_y,EE_z,Kp_x,Kp_y,Kp_z,Kp_rx,Kp_ry,Kp_rz,Kd_x,Kd_y,Kd_z,Kd_rx,Kd_ry,Kd_rz
110,23.379839,1.058495,11.646496,-0.430130,6.103298,0.202122,0.480169,-0.020794,0.428562,281.3896,5.0000,131.7617,164.9625,68.5448,5.0000,8.8891,1.0000,1.0000,56.7184,45.8273,49.9681
111,23.186697,3.049982,12.080910,-0.414674,5.622522,0.207124,0.479919,-0.020810,0.428608,280.7361,5.0000,130.7263,164.2579,67.5120,5.0000,8.9091,1.0000,1.0000,56.5356,45.6890,50.1040
112,21.934607,0.765025,11.823008,-0.484588,5.604877,0.213827,0.479723,-0.020841,0.428641,279.9142,5.0000,129.6263,163.6722,66.4952,5.0000,8.9423,1.0000,1.0000,56.3253,45.5136,50.2096
113,20.521484,0.608278,11.197970,-0.380501,6.089652,0.196705,0.479501,-0.020869,0.428684,278.9955,5.0000,128.4722,163.1901,65.5256,5.0000,8.9789,1.0000,1.0000,56.0950,45.3101,50.3008
114,22.685608,0.357811,11.357666,-0.492250,5.459352,0.167000,0.479249,-0.020878,0.428728,278.0507,5.0000,127.2811,162.7910,64.6253,5.0000,9.0107,1.0000,1.0000,55.8538,45.0896,50.3920
115,24.631115,2.232860,10.650511,-0.399672,5.371757,0.155495,0.479071,-0.020882,0.428759,277.1347,5.0000,126.0732,162.4512,63.8009,5.0000,9.0311,1.0000,1.0000,55.6104,44.8616,50.4941
116,22.441385,1.797862,10.930710,-0.492612,5.441760,0.153586,0.478851,-0.020905,0.428798,276.3083,5.0000,124.8863,162.1487,63.0735,5.0000,9.0366,1.0000,1.0000,55.3757,44.6384,50.6140
117,21.383205,0.903735,11.007822,-0.526962,5.744265,0.169125,0.478637,-0.020906,0.428839,275.5977,5.0000,123.7389,161.8648,62.4242,5.0000,9.0264,1.0000,1.0000,55.1569,44.4292,50.7546
118,19.289700,0.546474,11.175204,-0.395362,5.541854,0.200186,0.478418,-0.020937,0.428877,275.0120,5.0000,122.6512,161.5849,61.8354,5.0000,9.0022,1.0000,1.0000,54.9585,44.2399,50.9144
119,21.503515,0.704314,10.441097,-0.410649,5.599158,0.200937,0.478209,-0.020952,0.428915,274.5393,5.0000,121.6249,161.3002,61.2704,5.0000,8.9677,1.0000,1.0000,54.7820,44.0736,51.0899
